ID;description
3000338;INGENIERIA Y TOPOGRAFIA
3000339;MONTAJE DE MEDICION EN BOCA DE POZO
3000340;SERVICIOS PROFESIONALES
3000341;PROVISION BASE DE ANTENA BOLITA CROMADO
3000342;M3 DE HORMIGÓN CLASE 'A' CON MALLA SIMA
3000343;HIDROEXCAVACION
3000344;EXPENSAS AL RIO
3000345;HS 50% UOCRA 545/08
3000346;SERVICIO COMEDOR - EVENTOS
3000347;SERVICIO DE MANTENIMIENTO LICENCIA TOTVS
3000348;SE ENL PUESTO DE CAC
3000349;11 02 PACKER TKR1 5 1/2 AD ADIC P/H OPC
3000350;VIANDA ADICIONAL
3000351;ALQUILER DE MOTORES PARA AIB
3000352;SERVICIO ENERGIA PCR
3000353;CALIBRACION DE DETECTORES DE LLAMA
3000354;SUPERVISOR TECNICO OPERATIVO
3000355;CAMION CON MARTILLO PERCUTOR
3000356;DTM EQUIPOS VARIOS
3000357;SERVICIO SATELITAL EQUIPOS PULLING
3000358;PROVISION ANILLO R-45/R-46 N/P REF016
3000359;TRANSPORTE UNIDAD DE BOMBEO IDA
3000360;CARGO BASICO OPERACION BOMBEO HASTA 8HS
3000361;TARIFA LUMP SUM CASING RUNNING 5'
3000362;11 02 PACKER TKR1 5 1/2 AB POR OP OP.C
3000363;KM SOLO IDA BOMBA TRANSPORTADA SRBT110
3000364;OPERARIO DE MONTAJE
3000365;ESPUMANTE ESB980
3000366;ALQUILER EQUIPO DOSIFICADOR
3000367;EQUIPO DE SOLDADURA
3000368;SERVICIO DE CONSULTORIA HORAS DE GUARDIA
3000369;CAMION CON BATEA 24 M3
3000370;M3 DE HORMIGÓN CLASE 'C' MÁS DE 3 M3
3000371;SERVICIO DE PLOTEO DE PLANOS TAMANO A3
3000372;SIMA - CAMION VOLCADOR 6 M3
3000373;LIBRERIA
3000374;GASTOS VARIOS VISITA INVERSORES
3000375;SERVICIO UOCRA YACIMIENTO MENSUAL
3000376;DET 2 DROGAS ORINA COCAINA Y MARIHUANA
3000377;ADICIONAL HORMIGON OF.
3000378;GRUA CON CAPACIDAD MAXIMA DE 80 TN
